officename,pincode,officeType,Deliverystatus,divisionname,regionname,circlename,Taluk,Districtname,statename,Telephone,Related Suboffice,Related Headoffice,longitude,latitude
Awadam B.O,504204,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Bheemaram S.O,Mancherial H.O,NA,NA
Babapur B.O,504293,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Asifabad S.O,Mancherial H.O,NA,NA
Babasagar B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur(t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,NA,NA
Badampally B.O,504205,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Jannaram S.O,Mancherial H.O,NA,NA
Badankurthy B.O,504203,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,NA,Adilabad,TELANGANA,NA,Khanapur S.O (Adilabad),Adilabad H.O,NA,NA
Bambara B.O,504295,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Wankidi S.O,Mancherial H.O,NA,NA
Bangalpet B.O,504106,B.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Nirmal S.O (Adilabad),Adilabad H.O,NA,NA
Bansapalli B.O,504306,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Dilawarpur S.O,Adilabad H.O,NA,NA
Bapur B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,NA,NA
Bareguda B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O,NA,NA
Basar S.O (Adilabad),504101,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,08752-243502,NA,Adilabad H.O,NA,NA
Bazar Hathnur B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O,NA,NA
Beernandi B.O,504203,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,NA,Adilabad,TELANGANA,NA,Khanapur S.O (Adilabad),Adilabad H.O,NA,NA
Bejjur B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,NA,NA
Bela B.O,504309,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gumma S.O (Adilabad),Adilabad H.O,NA,NA
Bellalbadi B.O,504202,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Khanapur,Adilabad,TELANGANA,NA,Peddur S.O,Adilabad H.O,NA,NA
Bellampalli R.S. S.O,504251,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Bellampalle,Adilabad,TELANGANA,08735-222070,NA,Mancherial H.O,NA,NA
Bellampalli S.O,504251,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Bellampalle,Adilabad,TELANGANA,08735-222030,NA,Mancherial H.O,NA,NA
Beltharoda B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O,NA,NA
Bhagyanagar S.O (Adilabad),504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-232662,NA,Adilabad H.O,NA,NA
Bhainsa S.O (Adilabad),504103,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,08752-231013,NA,Adilabad H.O,NA,NA
Bharampur B.O,504308,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gudihatnoor S.O,Adilabad H.O,NA,NA
Bheemaram S.O,504204,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,08737-244030,NA,Mancherial H.O,NA,NA
Bheempur B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O,NA,NA
Bheemsari B.O,504002,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Dasnapur Colony  D.S.O,Adilabad H.O,NA,NA
Bhimini B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O,NA,NA
Bholsa B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O,NA,NA
Bhosi B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O,NA,NA
Bhuktapur S.O,504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-233035,NA,Adilabad H.O,NA,NA
Bhutai B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O,NA,NA
Bibra B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O,NA,NA
Bidrelli B.O,504101,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Basar S.O (Adilabad),Adilabad H.O,NA,NA
Birsaipet B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O,NA,NA
Birvelli B.O,504306,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Dilawarpur S.O,Adilabad H.O,NA,NA
Boath S.O,504304,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,08751-245210,NA,Adilabad H.O,NA,NA
Bodepalli B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O,NA,NA
Boregaon B.O,504101,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Basar S.O (Adilabad),Adilabad H.O,NA,NA
Boregaon B.O,504307,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Echoda S.O,Adilabad H.O,NA,NA
Borigaon B.O,504110,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Chincholi (B) S.O,Adilabad H.O,NA,NA
Boyapalli B.O,504272,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Tandur (A) S.O,Mancherial H.O,NA,NA
Brahmangaon B.O,504101,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Basar S.O (Adilabad),Adilabad H.O,NA,NA
Budakalan B.O,504251,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Bellampalli S.O,Mancherial H.O,NA,NA
Budakurd B.O,504251,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Bellampalli S.O,Mancherial H.O,NA,NA
Buggaram B.O,504323,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Neradigonda,Adilabad,TELANGANA,NA,Neradigonda S.O,Adilabad H.O,NA,NA
Burguda B.O,504293,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Asifabad S.O,Mancherial H.O,NA,NA
Chakepalli B.O,504272,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Tandur (A) S.O,Mancherial H.O,NA,NA
Chanda (T) B.O,504002,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Dasnapur Colony  D.S.O,Adilabad H.O,NA,NA
Chandaram B.O,504215,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Luxettipet S.O,Mancherial H.O,NA,NA
Chandur B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O,NA,NA
Chaprala B.O,504309,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gumma S.O (Adilabad),Adilabad H.O,NA,NA
Chata B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Kubeer,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O,NA,NA
Chedwai B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O,NA,NA
Chichdhari Khanapur B.O,504346,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Indervelli S.O,Adilabad H.O,NA,NA
Chichondi B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O,NA,NA
Chincholi (B) S.O,504110,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,08734-256173,NA,Adilabad H.O,NA,NA
Chinchughat B.O,504002,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Dasnapur Colony  D.S.O,Adilabad H.O,NA,NA
Chinnoor S.O,504201,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennoor,Adilabad,TELANGANA,08737-241230,NA,Mancherial H.O,NA,NA
Chintaguda B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O,NA,NA
Chintaguda B.O,504205,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Jannaram S.O,Mancherial H.O,NA,NA
Chintakunta B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,NA,NA
Chintalamanepalli B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,NA,NA
Chintalbori B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O,NA,NA
Chintalchanda B.O,504310,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Mamda S.O,Adilabad H.O,NA,NA
Chirrakunta S.O,504294,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,08733-278635,NA,Mancherial H.O,NA,NA
Chityal B.O,504306,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Dilawarpur S.O,Adilabad H.O,NA,NA
Chityal B.O,504202,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Kaddam (Peddur),Adilabad,TELANGANA,NA,Peddur S.O,Adilabad H.O,NA,NA
Chondi B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O,NA,NA
Chorpalli B.O,504313,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Jainoor S.O,Adilabad H.O,NA,NA
Coal Chemical Complex S.O,504302,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mancherial,Adilabad,TELANGANA,08736-239230,NA,Mancherial H.O,NA,NA
Cotton Market B.O,504002,B.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Dasnapur Colony  D.S.O,Adilabad H.O,NA,NA
Dabba B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,NA,NA
Dandepalli S.O,504206,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,08739-249430,NA,Mancherial H.O,NA,NA
Dantanpalli B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O,NA,NA
Dasnapur B.O,504346,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Indervelli S.O,Adilabad H.O,NA,NA
Dasnapur Colony  D.S.O,504002,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,NA,Adilabad H.O,NA,NA
Dasnapur Colony S.O,504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-226772,NA,Adilabad H.O,NA,NA
Dasturabad B.O,504202,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Khanapur,Adilabad,TELANGANA,NA,Peddur S.O,Adilabad H.O,NA,NA
Deepaiguda B.O,504309,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gumma S.O (Adilabad),Adilabad H.O,NA,NA
Dehgaon B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O,NA,NA
Dehgaon B.O,504273,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rechini S.O,Mancherial H.O,NA,NA
Dehgaon B.O,504102,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Mudhole S.O,Adilabad H.O,NA,NA
Devaiguda B.O,504294,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Chirrakunta S.O,Mancherial H.O,NA,NA
Devapur B.O,504293,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Asifabad S.O,Mancherial H.O,NA,NA
Devapur B.O,504308,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gudihatnoor S.O,Adilabad H.O,NA,NA
Devapur Cement Works S.O,504218,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,08736-240530,NA,Mancherial H.O,NA,NA
Dewalwada B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O,NA,NA
Dhaba B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O,NA,NA
Dhaboli B.O,504313,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Jainoor S.O,Adilabad H.O,NA,NA
Dhani B.O,504110,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Chincholi (B) S.O,Adilabad H.O,NA,NA
Dhannoor B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O,NA,NA
Dhanora(B) B.O,504346,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Indervelli S.O,Adilabad H.O,NA,NA
Dharmaram B.O,504205,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Jannaram S.O,Mancherial H.O,NA,NA
Dharmaraopet B.O,504231,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Kalyani Khani S.O,Mancherial H.O,NA,NA
Dhorpalli B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,NA,NA
Dilawarpur B.O,504203,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,NA,Adilabad,TELANGANA,NA,Khanapur S.O (Adilabad),Adilabad H.O,NA,NA
Dilawarpur S.O,504306,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,08734-222826,NA,Adilabad H.O,NA,NA
Dimda B.O,504299,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur (T) S.O,Mancherial H.O,NA,NA
Dimmadurthy B.O,504310,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Mamda S.O,Adilabad H.O,NA,NA
Doderna B.O,504103,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Bhainsa S.O (Adilabad),Adilabad H.O,NA,NA
Donabanda S.O,504207,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,08736-232028,NA,Mancherial H.O,NA,NA
Dowdepally B.O,504215,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Luxettipet S.O,Mancherial H.O,NA,NA
Dugnepally B.O,504201,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Chennur,Adilabad,TELANGANA,NA,Chinnoor S.O,Mancherial H.O,NA,NA
Dwaraka B.O,504206,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Dandepalli S.O,Mancherial H.O,NA,NA
Dwarakapur B.O,504272,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Tandur (A) S.O,Mancherial H.O,NA,NA
Easgaon - V B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Kagaznagar,Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O,NA,NA
Easgaon Camp B.O,504296,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Sirpur (t),Adilabad,TELANGANA,NA,Sirpur Khagaznagar S.O,Mancherial H.O,NA,NA
Echoda S.O,504307,S.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,08751-251322,NA,Adilabad H.O,NA,NA
Elegaon B.O,504102,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Mudhole S.O,Adilabad H.O,NA,NA
Elvi B.O,504102,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Mudhole,Adilabad,TELANGANA,NA,Mudhole S.O,Adilabad H.O,NA,NA
Gadapur B.O,504209,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Mancherial Cement Works S.O,Mancherial H.O,NA,NA
Gadchanda B.O,504104,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Nirmal,Adilabad,TELANGANA,NA,Narsapur S.O (Adilabad),Adilabad H.O,NA,NA
Gadiguda B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O,NA,NA
Gandhi Chowk S.O (Adilabad),504001,S.O,Non-Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,08732-222835,NA,Adilabad H.O,NA,NA
Gangapur B.O,504292,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rebbena S.O,Mancherial H.O,NA,NA
Ghanpur B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O,NA,NA
Ghanpur B.O,504311,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Ootnur S.O,Adilabad H.O,NA,NA
Ghotkuri B.O,504309,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Adilabad,Adilabad,TELANGANA,NA,Gumma S.O (Adilabad),Adilabad H.O,NA,NA
Ginnedhari B.O,504297,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Tiryani S.O,Mancherial H.O,NA,NA
Ginnera B.O,504346,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Utnoor,Adilabad,TELANGANA,NA,Indervelli S.O,Adilabad H.O,NA,NA
Girjam B.O,504307,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Echoda S.O,Adilabad H.O,NA,NA
Girnoor B.O,504307,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Echoda S.O,Adilabad H.O,NA,NA
Girvelli B.O,504219,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Nennel S.O,Mancherial H.O,NA,NA
Gokonda B.O,504304,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Boath,Adilabad,TELANGANA,NA,Boath S.O,Adilabad H.O,NA,NA
Gollakota B.O,504207,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Luxettipet,Adilabad,TELANGANA,NA,Donabanda S.O,Mancherial H.O,NA,NA
Golleti B.O,504292,B.O,Delivery,Adilabad,Hyderabad,Andhra Pradesh,Asifabad,Adilabad,TELANGANA,NA,Rebbena S.O,Mancherial H.O,NA,NA
